test_name,question,options,correct_answer,llava_answer,raw_response,misleader,is_correct,time_seconds
CALVI,What is the trend sales in gift shop A from Jan to Dec?,"[""Generally increasing"", ""Generally decreasing"", ""Generally constant"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,What is the trend of the average price of books from 1960 to 2020 in city Z?,"[""Generally increasing"", ""Generally decreasing"", ""Generally constant"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,"The residents of town Y are voting on a favorite hiking trail, and half of the votes have been counted. The poll closes on Sep 01, 2022. Which of the following is true?","[""Hiking trail A will be voted as the favorite trail."", ""Hiking trail B will be voted as the favorite trail."", ""Hiking trail C will be voted as the favorite trail."", ""Too early to say.""]",,,,,,
CALVI,"Assuming today is May 01, and half of the votes from each state for a favorite ice cream brand have been counted. The color of each state corresponds to the brand that has received the most votes in that state so far. The brand with the most number of colored states will be the most popular brand, and the results will be finalized on May 15. Which of the folowing is true?","[""A will be most popular brand of ice cream."", ""B will be least popular brand of ice cream."", ""C will be the most popular brand of ice cream."", ""Too early to say.""]",,,,,,
CALVI,"If the temperature gets higher than 100 degree Fahrenheit, then the bottles of water sold must be greater than 750.","[""True"", ""False"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,"Within each town, is there a negative relationship between average daily working hours and happiness score?","[""True"", ""False"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,"Assuming today is Feb 20, 2022, which of the following is true about the vegetables planted by the three farms?","[""All three farms planted more vegetables in 2022 than they did in the previous years."", ""All three farms planted fewer vegetables in 2022 than they did in the previous years."", ""All three farms planted about the same amount of vegetables in 2022 as they did in the previous years."", ""None of the above.""]",,,,,,
CALVI,"Assuming today is Apr 10, 2022, did the total number of cars parked in the three parking lots fall sharply in 2022?","[""Yes"", ""No"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,"Within each city, is there a positive relationship between salary and average daily working hours?","[""Yes"", ""No"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,"Assuming today is May 01, 2022, which of the following statements is true?","[""Company Z had more new employees in 2018 than in 2020."", ""The number of new employees per year fell sharply in 2022."", ""The total number of employees in company Z decreased in 2022."", ""None of the above.""]",,,,,,
CALVI,"Company A sells a board game. Assuming today is June 01, 2022, which of the following statements is true?","[""2004 has more copies sold than 2003"", ""Copies sold per year fell sharply in 2022."", ""Copies sold per year has been strictly increasing since 2003."", ""None of the above.""]",,,,,,
CALVI,Which of the following is true about the prevalence of the plant species Y?,"[""It is more prevalent in region D than in E."", ""It is less prevalent in region B than in C."", ""It is more prevalent in region C than in A."", ""It is less prevalent in region C than in D.""]",,,,,,
CALVI,Which of the following is true about the three brands of shampoo in city Y from 2001 to 2005?,"[""The market share of brand C is on an increasing trend from 2001 to 2005."", ""The market share of brand C is higher in 2001 than in 2002."", ""Brand B had the largest market share in 2001 compared to its market share in the other years."", ""None of the above.""]",,,,,,
CALVI,"Assuming today is May 10 and given the chart below, which statement about rainfall (mm) is true for the past 14 days?","[""The amount of rainfall peaked at the end of the past 14 days."", ""There was more rainfall at the beginning than at the end of the past 14 days."", ""None of the days had lower than 40mm of rainfall."", ""The amount of rainfall peaked at the beginning of the past 14 days.""]",,,,,,
CALVI,The number of visitors at airport X is decreasing from 2000 to 2005.,"[""True"", ""False"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,Is the total number of shirts sold by company Z in the first half of 2021 higher than that in the second half?,"[""Yes"", ""No"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,What is the price of water bottle from store A as a proportion of that from store B?,"[""17%"", ""25%"", ""50%"", ""90%""]",,,,,,
CALVI,What is the number of concert tickets sold on Aug 10 as a proportion of that on Aug 11?,"[""20%"", ""40%"", ""60%"", ""80%""]",,,,,,
CALVI,"Approximately, what is the total number of visitors at amusement park B as a proportion of that at amusement park C from May to December?","[""33%"", ""67%"", ""100%"", ""200%""]",,,,,,
CALVI,What is the trend for the percentage of bacteria Z from 1970 to 2020?,"[""Generally increasing"", ""Generally decreasing"", ""Generally constant"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,"Approximately, what is brand C's total sales as a proportion of brand B's total sales from Jan 01 to Mar 15?","[""20%"", ""50%"", ""60%"", ""90%""]",,,,,,
CALVI,"On May 06 in city Z, what is the number of visitors at train station B as a proportion of that at train station C?","[""25%"", ""33%"", ""75%"", ""100%""]",,,,,,
CALVI,Do U.S. states have a more similar number of sunny days in the summer or in the winter?,"[""Summer"", ""Winter"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,Do U.S. states have a more similar number of windy days in the summer or in the winter?,"[""Summer"", ""Winter"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,"Approximately, what is the number of votes for candidate A as a proportion of those for candidate B?","[""50%"", ""60%"", ""70%"", ""80%""]",,,,,,
CALVI,GDP per capita for country Z grew faster from 2000 to 2003 than from 2005 to 2008.,"[""True"", ""False"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,Does cell phone brand A have more than half of the total market share?,"[""Yes"", ""No"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,Are there more households with exactly 1 car than households with exactly 2 cars?,"[""Yes"", ""No"", ""Cannot be inferred/inadequate information""]",,,,,,
