test_name,question,options,correct_answer,llava_answer,raw_response,misleader,is_correct,time_seconds
VLAT,What was the price of a barrel of oil in February 2015?,"[""$57.36"", ""$47.82"", ""$50.24"", ""$39.72"", ""Omit""]",,,,,,
VLAT,In which month was the price of a barrel of oil the lowest in 2015?,"[""March"", ""May"", ""July"", ""December"", ""Omit""]",,,,,,
VLAT,What was the price range of a barrel oil in 2015?,"[""$35 - $65"", ""$48.36 - $60.95"", ""$37.04 - $48.36"", ""$37.04 - $60.95"", ""Omit""]",,,,,,
VLAT,"Over the course of the second half of 2015, the price of a barrel of oil was ____________.","[""rising"", ""falling"", ""staying"", ""Omit""]",,,,,,
VLAT,About how much did the price of a barrel of oil fall from April to September in 2015?,"[""$4"", ""$15"", ""$17"", ""$45"", ""Omit""]",,,,,,
VLAT,What is the average internet speed in Japan?,"[""10 Mbps"", ""14 Mbps"", ""15 Mbps"", ""16 Mbps"", ""Omit""]",,,,,,
VLAT,In which country is the average internet speed the fastest in Asia?,"[""China"", ""Hong Kong"", ""South Korea"", ""Vietnam"", ""Omit""]",,,,,,
VLAT,What is the range of the average internet speed in Asia?,"[""0 - 22 Mbps"", ""2 - 20.5 Mbps"", ""3 - 20 Mbps"", ""3.4 - 7.8 Mbps"", ""Omit""]",,,,,,
VLAT,How many countries in Asia is the average internet speed slower than Thailand?,"[""5 countries"", ""6 countries"", ""7 countries"", ""8 countries"", ""Omit""]",,,,,,
VLAT,What is the cost of peanuts in Las Vegas?,"[""$12"", ""$16.7"", ""$23.4"", ""$35.4"", ""Omit""]",,,,,,
VLAT,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,"[""1 to 10"", ""2 to 10"", ""4 to 10"", ""6 to 10"", ""Omit""]",,,,,,
VLAT,In which city is the cost of soda the highest?,"[""New York City"", ""Las Vegas"", ""Atlanta"", ""Washington D.C."", ""Omit""]",,,,,,
VLAT,The cost of vodka in Atlanta is higher than that of Honolulu.,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C.,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,What is the approval rating of Republicans among the people who have the education level of Postgraduate Study?,"[""38%"", ""47%"", ""53%"", ""62%"", ""Omit""]",,,,,,
VLAT,What is the education level of people in which the Democrats have the lowest approval rating?,"[""High School Graduate or Less"", ""Some College Degree"", ""College Graduate"", ""Postgraduate Study"", ""Omit""]",,,,,,
VLAT,The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,About what is the global smartphone market share of Samsung?,"[""15%"", ""25%"", ""33%"", ""50%"", ""Omit""]",,,,,,
VLAT,In which company is the global smartphone market share the smallest?,"[""Apple"", ""Xiaomi"", ""Lenovo"", ""Others"", ""Omit""]",,,,,,
VLAT,The global smartphone market share of Apple is larger than that of Huawei.,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,How many people have rated the taxi between 4.0 and 4.2?,"[""145"", ""153"", ""200"", ""240"", ""Omit""]",,,,,,
VLAT,What is the rating that the people have rated the taxi the most?,"[""4.2 - 4.4"", ""4.4 - 4.6"", ""4.6 - 4.8"", ""4.8 - 5.0"", ""Omit""]",,,,,,
VLAT,More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4.,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,What is the weight for the person who is 165.1 cm tall?,"[""53.9 kg"", ""67.7 kg"", ""70.5 kg"", ""82.7 kg"", ""Omit""]",,,,,,
VLAT,What is the height for the tallest person among the 85 males?,"[""175.3 cm"", ""192 cm"", ""197.1 cm"", ""200 cm"", ""Omit""]",,,,,,
VLAT,What is the range in weight for the 85 males?,"[""40 - 130 kg"", ""62.3 - 90.9 kg"", ""53.9 - 102.3 kg"", ""53.9 - 123.6 kg"", ""Omit""]",,,,,,
VLAT,What is the height for a person who lies outside the others the most?,"[""167.4 cm"", ""175.3 cm"", ""193 cm"", ""197.1 cm"", ""Omit""]",,,,,,
VLAT,A group of males are gathered aroud the height of 176 cm and the weight of 70 kg.,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,There is a negative linear relationship between the height and the weight of the 85 males.,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,The weight for males with the height of 188 cm are all the same.,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,What was the average price of a pound of coffee beans in September 2013?,"[""$4.9"", ""$5.0"", ""$5.1"", ""$5.2"", ""Omit""]",,,,,,
VLAT,When was the average price of a pound of coffee beans at minimum?,"[""April 2013"", ""September 2013"", ""June 2014"", ""December 2014"", ""Omit""]",,,,,,
VLAT,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,"[""$4.4 - $6.2"", ""$4.6 - $5.9"", ""$4.6 - $6.0"", ""$4.6 - $6.1"", ""Omit""]",,,,,,
VLAT,"Over the course of 2013, the average price of a pound of coffee beans was ____________.","[""rising"", ""failing"", ""staying"", ""Omit""]",,,,,,
VLAT,"What was the number of girls named ""Amelia"" in 2010 in the UK?","[""1,500"", ""3,800"", ""4,200"", ""8,000"", ""Omit""]",,,,,,
VLAT,"About what was the ratio of the number of girls named ""Olivia"" to those named ""Isla"" in 2014 in the UK?","[""1 to 1"", ""1 to 2"", ""1 to 3"", ""1 to 4"", ""Omit""]",,,,,,
